,종목명,진행상황,시장구분,종목코드,업종,대표자,기업구분,본점소재지,홈페이지,대표전화,최대주주,매출액,법인세비용차감전계속사업이익,순이익,자본금,총공모주식수,액면가,상장공모,희망공모가액,청약경쟁률,확정공모가,공모금액,주간사,주식수,청약한도,공모청약일,우리사주조합,우리사주조합 청약증거금율,기관투자자등,기관투자자 최고한도,일반투자자 청약증거금율,기관경쟁률,의무보유확약
159,한국스팩10호,신규상장,코스닥,409570,금융 지원 서비스업,김태훈,중소일반,서울특별시 영등포구 의사당대로 88 한국투자증권빌딩,,,-,- (백만원),0 (백만원),- (백만원),541 (백만원),"4,500,000 주",100 원,"신주모집 : 4,500,000 주 (100%)","2,000 ~ 2,000 원",802:1 (비례 1604:1),"2,000 원","9,000 (백만원)",한국투자증권,"1,125,000~1,350,000 주","36,000~42,000 주",2022.02.10 ~  2022.02.11,주,100%,"3,150,000~3,375,000 주 (70~75%)",- 주,100%,,0.00%
160,바이오에프디엔씨,신규상장,코스닥,251120,기초 의약물질 및 생물학적 제제 제조업,"모상현, 정대현",중소일반,인천광역시 연수구 송도미래로 30,www.biofdnc.com,032-811-2027,-,"8,640 (백만원)",28 (백만원),"2,461 (백만원)","4,347 (백만원)","1,300,000 주",500 원,"신주모집 : 1,300,000 주 (100%)","23,000 ~ 29,000 원",4.74:1 (비례 9:1),"28,000 원","36,400 (백만원)",DB금융투자,"325,000~390,000 주","32,000~38,000 주",2022.02.09 ~  2022.02.10,"80,000  주  (6.15%)",100%,"830,000~975,000 주 (63.85~75%)",- 주,50%,74.01:1,11.80%
161,IBKS스팩17호,신규상장,코스닥,405350,금융 지원 서비스업,이경준,중소일반,서울특별시 영등포구 국제금융로6길 11,,,-,- (백만원),0 (백만원),- (백만원),272 (백만원),"2,500,000 주",100 원,"신주모집 : 2,500,000 주 (100%)","2,000 ~ 2,000 원",1736:1 (비례 3472:1),"2,000 원","5,000 (백만원)",IBK투자증권,"625,000~750,000 주","62,000~74,000 주",2022.02.08 ~  2022.02.09,주,100%,"1,750,000~1,875,000 주 (70~75%)",- 주,100%,,0.00%
162,인카금융서비스,신규상장,코스닥,211050,보험 및 연금관련 서비스업,최병채,중소일반,서울특별시 성동구 성수이로7길 27 서울숲코오롱디지털타워,www.incar.co.kr,02-2192-8916,-,"301,025 (백만원)","14,914 (백만원)","11,288 (백만원)","2,568 (백만원)","879,800 주",500 원,"신주모집 : 600,000 주 (68.2%)
	/  구주매출 : 279,800 주 (31.8%)","23,000 ~ 27,000 원",25.29:1 (비례 51:1),"18,000 원","15,836 (백만원)",한국투자증권,"219,950~263,940 주","7,000~8,000 주",2022.02.07 ~  2022.02.08,"83,100 주  (9.4%)",100%,"532,760~576,750 주 (60.6~65.6%)",- 주,50%,13.69:1,4.19%
163,나래나노텍,신규상장,코스닥,137080,특수 목적용 기계 제조업,정좌진,중소일반,경기도 용인시 처인구 이동읍 백옥대로 250,www.naraenano.com,031-337-2288,-,"82,805 (백만원)","2,953 (백만원)","2,273 (백만원)","5,529 (백만원)","3,100,000 주",500 원,"신주모집 : 2,388,200 주 (77.04%)
	/  구주매출 : 711,800 주 (22.96%)","17,500 ~ 20,500 원",24.36:1 (비례 49:1),"17,500 원","54,250 (백만원)",미래에셋증권,"775,000~930,000 주","38,000~46,000 주",2022.01.24 ~  2022.01.25,"100,000 주  (3.23%)",100%,"2,070,000~2,225,000 주 (66.77~71.77%)",- 주,50%,102:1,0.97%
164,아셈스,신규상장,코스닥,136410,플라스틱제품 제조업,장지상,중소일반,부산광역시 사하구 을숙도대로873번길 31,,,-,"34,049 (백만원)","1,714 (백만원)","1,052 (백만원)","4,479 (백만원)","2,000,000 주",500 원,"신주모집 : 2,000,000 주 (100%)","7,000 ~ 8,000 원",2435.07:1 (비례 4870:1),"8,000 원","16,000 (백만원)",한국투자증권,"500,000~600,000 주","16,000~20,000 주",2022.01.24 ~  2022.01.25,"80,000  주  (4%)",100%,"1,320,000~1,420,000 주 (66~71%)",- 주,50%,1618.26:1,7.71%
165,스코넥,신규상장,코스닥,276040,소프트웨어 개발 및 공급업,황대실,중소일반,서울특별시 강남구 선릉로 577 조선내화빌딩 9층,www.skonec.com,02-458-3742,-,"4,558 (백만원)","-8,971 (백만원)","-8,971 (백만원)","6,036 (백만원)","2,226,300 주",500 원,"신주모집 : 2,226,300 주 (100%)","9,000 ~ 12,000 원",1751.25:1 (비례 3503:1),"13,000 원","28,942 (백만원)",신영증권,"556,575~667,890 주","55,500~66,600 주",2022.01.20 ~  2022.01.21,"77,920 주  (3.5%)",100%,"1,480,490~1,669,725 주 (66.5~75%)",- 주,50%,1724.66:1,59.95%
166,이지트로닉스,신규상장,코스닥,377330,"전동기, 발전기 및 전기 변환 공급 제어 장치",강찬호,중소일반,경기도 화성시 금곡로163번길 63-100,www.egtronics.co.kr,031-8002-3200,-,"15,349 (백만원)","4,014 (백만원)","3,552 (백만원)","3,982 (백만원)","1,980,000 주",500 원,"신주모집 : 1,980,000 주 (100%)","19,000 ~ 22,000 원",887.40:1 (비례 1775:1),"22,000 원","43,560 (백만원)",NH투자증권,"495,000~594,000 주","19,600~23,600 주",2022.01.20 ~  2022.01.21,"74,745 주  (3.78%)",100%,"1,311,255~1,485,000 주 (66.22~75%)",- 주,50%,1343.51:1,2.94%
167,LG에너지솔루션,신규상장,거래소,373220,일차전지 및 축전지 제조업,김종현,중소일반,"서울특별시 영등포구 여의대로 108, 타워 1",www.lgensol.com,02-3773-1114,LG화학 100%,"1,461,068 (백만원)","-604,854 (백만원)","-451,771 (백만원)","117,000 (백만원)","42,500,000 주",500 원,"신주모집 : 34,000,000 주 (80%)
	/  구주매출 : 8,500,000 주 (20%)","257,000 ~ 300,000 원",69.34:1 (비례 139:1),"300,000 원","12,750,000 (백만원)","KB증권,대신증권,신한금융,미래에셋증권,신영증권,하나금융,하이투자","10,625,000~12,750,000 주","162,000~194,000 주",2022.01.18 ~  2022.01.19,"8,500,00020 주  (20%)",100%,"23,375,000~31,875,000 주 (55~75%)",- 주,50%,2023.37:1,77.38%
168,애드바이오텍,신규상장,코스닥,179530,의약품 제조업,정홍걸,중소일반,강원도 춘천시 동내면 거두단지1길 39,www.adbiotech.com,033-261-4907,-,"9,815 (백만원)","-7,476 (백만원)","-7,345 (백만원)","4,546 (백만원)","1,360,000 주",500 원,"신주모집 : 1,360,000 주 (100%)","7,000 ~ 8,000 원",27.20:1 (비례 54:1),"7,000 원","9,520 (백만원)",대신증권,"340,000~408,000 주","34,000~40,000 주",2022.01.13 ~  2022.01.14,주,100%,"952,000~1,020,000 주 (70~75%)",- 주,50%,102.15:1,0.00%
169,케이옥션,신규상장,코스닥,102370,상품 중개업,도현순,중소일반,"서울특별시 강남구 언주로172길 23, 신사동 아트타워",www.k-auction.com,02-3479-8888,티에이어드바이저 62%,"24,192 (백만원)","-1,761 (백만원)","-2,088 (백만원)","4,454 (백만원)","1,600,000 주",500 원,"신주모집 : 1,280,000 주 (80%)
	/  구주매출 : 320,000 주 (20%)","17,000 ~ 20,000 원",1408.33:1 (비례 2817:1),"20,000 원","32,000 (백만원)",신영증권,"400,000~480,000 주","13,300~16,000 주",2022.01.12 ~  2022.01.13,"320,000 주  (20%)",100%,"880,000~1,200,000 주 (55~75%)",- 주,50%,1638.36:1,36.80%
170,오토앤,신규상장,코스닥,353590,자동차 신품 부품 및 내장품 판매업,최찬욱,중소일반,경기도 안양시 만안구 전파로24번길 63 (안양동),,031-689-3314,-,"49,437 (백만원)","3,595 (백만원)","3,444 (백만원)","6,437 (백만원)","2,877,579 주",500 원,"신주모집 : 2,877,579 주 (100%)","4,200 ~ 4,800 원",2395.63:1 (비례 4791:1),"5,300 원","15,251 (백만원)","미래에셋증권,현대차증권","719,395~863,274 주",- 주,2022.01.11 ~  2022.01.12,주,100%,"2,014,305~2,158,184 주 (70~75%)",- 주,50%,1713:1,8.34%
171,디비금융스팩10호,신규상장,코스닥,404950,기타 금융업,곽대환,중소일반,서울특별시 영등포구 국제금융로8길 32,,,-,- (백만원),0 (백만원),- (백만원),584 (백만원),"5,000,000 주",100 원,"신주모집 : 5,000,000 주 (100%)","2,000 ~ 2,000 원",234.95:1 (비례 470:1),"2,000 원","10,000 (백만원)",DB금융투자,"1,250,000~1,500,000 주","100,000 주",2022.01.10 ~  2022.01.11,주,100%,"3,500,000~3,750,000 주 (70~75%)",- 주,100%,,0.00%
172,래몽래인,신규상장,코스닥,200350,"영화, 비디오물, 방송프로그램 제작 및 배급업",김동래,중소일반,서울특별시 강남구 학동로25길 19,www.raemongraein.co.kr,02-761-9978,위지윅스튜디오 25%,"34,650 (백만원)","2,147 (백만원)","3,153 (백만원)","3,124 (백만원)","1,200,000 주",500 원,"신주모집 : 1,200,000 주 (100%)","11,500 ~ 13,000 원",2054.63:1 (비례 4109:1),"15,000 원","18,000 (백만원)",IBK투자증권,"300,000~360,000 주","30,000~36,000 주",2021.12.20 ~  2021.12.21,주,100%,"840,000~900,000 주 (70~75%)",- 주,50%,1545.68:1,17.75%
173,하나금융스팩20호,신규상장,코스닥,400560,금융 지원 서비스업,박태한,중소일반,서울특별시 영등포구 의사당대로 82,,,-,- (백만원),0 (백만원),- (백만원),305 (백만원),"3,000,000 주",100 원,"신주모집 : 3,000,000 주 (100%)","2,000 ~ 2,000 원",339.28:1 (비례 679:1),"2,000 원","6,000 (백만원)",하나금융투자,"750,000 주","60,000 주",2021.12.16 ~  2021.12.17,주,100%,"2,250,000 주 (75%)",- 주,100%,,0.00%
174,NH스팩22호,신규상장,코스닥,396770,금융 지원 서비스업,김성준,중소일반,서울특별시 영등포구 여의대로 108 파크원 타워2 8층,,,-,- (백만원),0 (백만원),- (백만원),644 (백만원),"6,000,000 주",100 원,"신주모집 : 6,000,000 주 (100%)","2,000 ~ 2,000 원",362.29:1 (비례 725:1),"2,000 원","12,000 (백만원)",NH투자증권,"1,500,000 주","150,000 주",2021.12.16 ~  2021.12.17,주,100%,"4,500,000 주 (75%)",- 주,100%,,0.00%
175,하이스팩7호,신규상장,코스닥,400840,금융 지원 서비스업,김동찬,중소일반,서울특별시 영등포구 여의나루로 61,,,-,- (백만원),0 (백만원),- (백만원),512 (백만원),"5,000,000 주",100 원,"신주모집 : 5,000,000 주 (100%)","2,000 ~ 2,000 원",93.32:1,"2,000 원","10,000 (백만원)",하이투자증권,"1,250,000 주","125,000 주",2021.12.09 ~  2021.12.10,주,100%,"3,750,000 주 (75%)",- 주,100%,,0.00%
176,교보스팩11호,신규상장,코스닥,397880,기타 금융업,이규연,중소일반,서울특별시 영등포구 의사당대로 97,,,-,- (백만원),0 (백만원),- (백만원),444 (백만원),"4,200,000 주",100 원,"신주모집 : 4,200,000 주 (100%)","2,000 ~ 2,000 원",107:1,"2,000 원","8,400 (백만원)",교보증권,"1,050,000~1,260,000 주",- 주,2021.12.09 ~  2021.12.10,주,100%,"2,940,000~3,150,000 주 (70~75%)",- 주,100%,,0.00%
177,케이티비네트워크,신규상장,코스닥,298870,기타 금융업,김창규,중소일반,경기도 성남시 분당구 대왕판교로 670,www.ktbnetwork.com,031-628-6400,KTB투자증권 65%,"66,974 (백만원)","44,624 (백만원)","35,765 (백만원)","50,000 (백만원)","20,000,000 주",500 원,"신주모집 : 20,000,000 주 (100%)","5,800 ~ 7,200 원",327.26:1,"5,800 원","116,000 (백만원)","한국투자증권,NH투자증권,삼성증권,유진투자증권,하이투자증권,KB증권","5,000,000~6,000,000 주","100,000~120,000 주",2021.12.06 ~  2021.12.07,주,100%,"14,000,000~15,000,000 주 (70~75%)",- 주,50%,50.19:1,6.94%
178,툴젠,신규상장,코스닥,199800,자연과학 및 공학 연구개발업,이병화,중소일반,"서울특별시 금천구 가산디지털1로 219 벽산디지털밸리 6차 1204,1205,1206 호",www.toolgen.com,02-873-8168,제넥신 16.41%,713 (백만원),"-14,882 (백만원)","-14,882 (백만원)","3,926 (백만원)","1,000,000 주",500 원,"신주모집 : 1,000,000 주 (100%)","100,000 ~ 120,000 원",164.13:1,"70,000 원","70,000 (백만원)",한국투자증권,"250,000~300,000 주","8,000~9,000 주",2021.12.02 ~  2021.12.03,"40,000 주  (4%)",100%,"660,000~710,000 주 (66~71%)",- 주,50%,29.54:1,0.10%
179,신한서부티엔디리츠,신규상장,거래소,404990,비주거용 건물 임대업,승우진,중소일반,"서울특별시 종로구 종로 33 (청진동, 그랑서울) 1동 18층",,02-2158-7400,-,- (백만원),0 (백만원),- (백만원),"55,955 (백만원)","26,977,842 주","1,000 원","신주모집 : 26,977,842 주 (100%)","5,000 ~ 5,000 원",151.98:1,"5,000 원","134,889 (백만원)","한국투자증권,신한금융투자,하나금융투자","8,000,000 주",- 주,2021.11.24 ~  2021.11.26,주,100%,"18,977,842 주 (70.35%)",- 주,50%,564.84:1,15.28%
180,대신밸런스스팩11호,신규상장,코스닥,397500,금융 지원 서비스업,정재중,중소일반,서울특별시 중구 삼일대로 343,,,-,- (백만원),0 (백만원),- (백만원),761 (백만원),"6,500,000 주",100 원,"신주모집 : 6,500,000 주 (100%)","2,000 ~ 2,000 원",150.83:1,"2,000 원","13,000 (백만원)",대신증권,"1,625,000~1,950,000 주","162,000~195,000 주",2021.11.22 ~  2021.11.23,주,100%,"4,550,000~4,875,000 주 (70~75%)",- 주,100%,,0.00%
181,미래에셋글로벌리츠,신규상장,거래소,396690,부동산 임대업,신현준,중소일반,"서울특별시 종로구 종로 33 (청진동, 그랑서울)",,02-3774-6614,-,- (백만원),0 (백만원),- (백만원),"29,360 (백만원)","15,020,000 주","1,000 원","신주모집 : 15,020,000 주 (100%)","5,000 ~ 5,000 원",753.4:1,"5,000 원","75,100 (백만원)","미래에셋증권,KB증권,NH투자증권","6,008,000 주",- 주,2021.11.22 ~  2021.11.24,주,100%,"9,012,000 주 (60%)",- 주,50%,1019.58:1,17.34%
182,알비더블유,신규상장,코스닥,361570,오디오물 출판 및 원판 녹음업,"김진우, 김도훈",중소일반,"서울특별시 동대문구 장한로20길 7 지하1층 (장안동, 서희스타힐스)",www.rbbridge.com,02-517-5748,-,"37,277 (백만원)","5,262 (백만원)","3,719 (백만원)","3,965 (백만원)","1,253,000 주",500 원,"신주모집 : 783,000 주 (62.49%)
	/  구주매출 : 470,000 주 (37.51%)","18,700 ~ 21,400 원",3706.79:1,"21,400 원","26,814 (백만원)",미래에셋증권,"313,250~375,900 주","15,500~18,500 주",2021.11.11 ~  2021.11.12,주,100%,"877,100~939,750 주 (70~75%)",- 주,50%,1719.61 :1,15.98%
183,마인즈랩,신규상장,코스닥,377480,소프트웨어 개발 및 공급업,유태준,중소일반,대전광역시 유성구 가정북로 96,www.mindslab.ai,031-625-4340,-,"11,292 (백만원)","-20,536 (백만원)","-20,386 (백만원)","3,022 (백만원)","604,459 주",500 원,"신주모집 : 604,459 주 (100%)","26,000 ~ 30,000 원",89.9:1,"30,000 원","18,134 (백만원)","NH투자증권,하나금융투자","151,115~181,338 주",- 주,2021.11.11 ~  2021.11.12,"90,670 주  (15%)",100%,"362,674~453,344 주 (60~75%)",- 주,50%,197.55:1,19.74%
184,바이옵트로,신규상장,코스닥,222160,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광",김완수,중소일반,경기도 용인시 기흥구 탑실로58번길 14,www.bioptro.co.kr,031-8005-5155,-,"16,115 (백만원)","1,661 (백만원)","2,235 (백만원)","4,071 (백만원)","1,000,000 주",500 원,"신주모집 : 1,000,000 주 (100%)","7,500 ~ 8,500 원",68.11:1,"7,500 원","7,500 (백만원)",한국투자증권,250000~300000 주,"8,000~9,000 주",2021.11.09 ~  2021.11.10,주,100%,"700,000~750,000 주 (70~75%)",- 주,50%,205.12:1,0.98%
185,트윔,신규상장,코스닥,290090,소프트웨어 개발 및 공급업,정한섭,중소일반,경기도 화성시 삼성1로4길 7-4,www.twim21.com,070-7539-8111,-,"18,260 (백만원)","3,078 (백만원)","2,916 (백만원)","3,627 (백만원)","1,220,000 주",500 원,"신주모집 : 1,220,000 주 (100%)","17,800 ~ 20,400 원",2266.84:1,"22,000 원","26,840 (백만원)",대신증권,"305,000~366,000 주","15,000~18,000 주",2021.11.08 ~  2021.11.09,주,100%,"854,000~915,000 주 (70~75%)",- 주,50%,1627.34:1:,9.20%
186,NH올원리츠,신규상장,거래소,400760,부동산 개발 및 공급업,박영희,중소일반,서울특별시 영등포구 국제금융로8길 2,,02-6264-2840,-,- (백만원),0 (백만원),- (백만원),"21,100 (백만원)","28,100,000 주",500 원,"신주모집 : 28,100,000 주 (100%)","5,000 ~ 5,000 원",453.48:1,"5,000 원","140,500 (백만원)","한국투자증권,NH투자증권,대신증권","9,400,000 주",- 주,2021.11.03 ~  2021.11.05,주,100%,"18,700,000 주 (66.5%)",- 주,50%,628.2:1,17.07%
187,지오엘리먼트,신규상장,코스닥,311320,전자부품 제조업,신현국,중소일반,경기도 안성시 금석3길 30,www.goelement.co.kr,031-611-9123,-,"13,180 (백만원)","2,867 (백만원)","2,457 (백만원)","3,096 (백만원)","1,547,000 주",500 원,"신주모집 : 1,547,000 주 (100%)","7,600 ~ 8,700 원",1537.44:1,"10,000 원","15,470 (백만원)",NH투자증권,"386,750~464,100 주","12,000~16,000 주",2021.11.02 ~  2021.11.03,"140,000 주  (9.05%)",100%,"942,900~1,160,250 주 (60.95~75%)",- 주,50%,1613.84 :1,15.23%
188,비트나인,신규상장,코스닥,357880,응용소프트웨어 개발 및소프트웨어 개발 및 공급업 공,강철순,중소일반,"서울특별시 강서구 양천로 401 12층 A1201, A1202",bitnine.net,070-4800-3517,-,"11,576 (백만원)","-10,226 (백만원)","-10,226 (백만원)","4,110 (백만원)","2,071,000 주",500 원,"신주모집 : 2,071,000 주 (100%)","8,700 ~ 9,700 원",589.64:1,"11,000 원","22,781 (백만원)",하나금융투자,"517,750~621,300 주","25,000~30,000 주",2021.11.01 ~  2021.11.02,"60,600 주  (2.93%)",100%,"1,389,100~1,553,250 주 (67.07~75%)",- 주,50%,1662.29:1,5.96%
189,디어유,신규상장,코스닥,376300,소프트웨어 개발 및 공급업,안종오,중소일반,"서울특별시 강남구 삼성로 633 3층 (삼성동, 삼광빌딩)",www.dear-u.co,,에스엠스튜디오스 40%,"13,048 (백만원)","-1,352 (백만원)","-2,250 (백만원)","10,875 (백만원)","3,300,000 주",500 원,"신주모집 : 3,300,000 주 (100%)","18,000 ~ 24,000 원",1598.15:1,"26,000 원","85,800 (백만원)",한국투자증권,"825,000~990,000 주","26,000~32,000 주",2021.11.01 ~  2021.11.02,"495,000 주  (15%)",100%,"1,815,000~2,475,000 주 (55~75%)",- 주,50%,2001.11:1,37.46%
190,아이티아이즈,신규상장,코스닥,372800,소프트웨어 개발 및 공급업,이성남,중소일반,"서울특별시 영등포구 은행로 37 5층 (여의도동, 기계산업진흥회)",www.iteyes.co.kr,02-783-2972,-,"51,314 (백만원)","2,856 (백만원)","3,015 (백만원)","2,988 (백만원)","1,777,000 주",500 원,"신주모집 : 1,657,000 주 (93.25%)
	/  구주매출 : 120,000 주 (6.75%)","12,500 ~ 14,300 원",633.61:1,"14,300 원","25,411 (백만원)",신한금융투자,"444,250~1,332,750 주","14,000~17,000 주",2021.11.01 ~  2021.11.02,"355,400 주  (20%)",100%,"977,350~1,332,750 주 (55~75%)",- 주,50%,1601.14:1,9.11%
191,지니너스,신규상장,코스닥,389030,자연과학 및 공학 연구개발업,박웅양,중소일반,"서울특별시 송파구 정의로 70 4,5층 (문정동, 케이디유타워)",www.kr-geninus.com,02-6949-6570,-,"3,794 (백만원)","-9,152 (백만원)","-9,152 (백만원)","5,434 (백만원)","2,000,000 주",500 원,"신주모집 : 2,000,000 주 (100%)","24,700 ~ 32,200 원",162.5:1,"20,000 원","40,000 (백만원)","대신증권,NH투자증권","500,000~600,000 주","25,000~30,000 주",2021.10.27 ~  2021.10.28,"33,890  주  (1.69%)",100%,"1,366,110~1,466,000 주 (69.48~74.57%)",- 주,50%,66.03:1,0.10%
192,카카오페이,신규상장,거래소,377300,기타 금융업,류영준,중소일반,경기도 성남시 분당구 판교역로 152,www.kakaopay.life,031-789-3791,카카오 55%,"284,371 (백만원)","-25,768 (백만원)","-25,051 (백만원)","65,183 (백만원)","17,000,000 주",500 원,"신주모집 : 17,000,000 주 (100%)","60,000 ~ 90,000 원",29.6:1,"90,000 원","1,530,000 (백만원)","삼성증권,대신증권,한국투자증권,신한금융투자","115000~135,000 주","135,000~162,000 주",2021.10.25 ~  2021.10.26,"3,400,000 주  (20%)",100%,"9,350,000~12,750,000 주 (55~75%)",- 주,50%,1714.47:1,70.44%
193,피코그램,신규상장,코스닥,376180,기타 제품 제조업,최석림,중소일반,인천광역시 부평구 부평북로 118,www.picogram.com,032-678-5114,-,"24,273 (백만원)","2,387 (백만원)","1,957 (백만원)",306 (백만원),"1,000,000 주",100 원,"신주모집 : 1,000,000 주 (100%)","11,000 ~ 12,500 원",1520.35:1,"12,500 원","12,500 (백만원)",IBK투자증권,"250,000~300,000 주",- 주,2021.10.25 ~  2021.10.26,"100,000 주  (10%)",100%,"600,000~650,000 주 (60~65%)",- 주,50%,1472.19:1,12.96%
194,엔켐,신규상장,코스닥,348370,기초 화학물질 제조업,오정강,중소일반,충청북도 제천시 바이오밸리로 107 (왕암동),www.enchem.net/,043-653-0910,-,"138,888 (백만원)","1,161 (백만원)",501 (백만원),"7,553 (백만원)","2,262,625 주",500 원,"신주모집 : 2,262,625 주 (100%)","30,000 ~ 35,000 원",1275.69:1,"42,000 원","95,030 (백만원)","대신증권,신한금융투자","614,605 주","24,000 주",2021.10.21 ~  2021.10.22,"403,577 주  (17.84%)",100%,"1,244,443 주 (55%)",- 주,50%,1647.40 :1,64.45%
195,리파인,신규상장,코스닥,377450,"부동산 중개, 자문 및 감정평가업",이창섭,중소일반,"서울특별시 강남구 테헤란로 625, 4층 (삼성동, 덕명빌딩)",www.refine.co.kr,02-2189-8731,-,"54,164 (백만원)","20,372 (백만원)","16,067 (백만원)","1,300 (백만원)","4,330,000 주",100 원,"신주모집 : 4,330,000 주 (100%)","21,000 ~ 24,000 원",5.95:1,"21,000 원","90,930 (백만원)",KB증권,"1,082,500~1,299,000 주","39,000~40,000 주",2021.10.20 ~  2021.10.21,"216,500 주  (5%)",100%,"2,814,500~3,247,500 주 (65~75%)",- 주,50%,64.19:1,3.22%
196,지앤비에스엔지니어링,신규상장,코스닥,382800,특수 목적용 기계 제조업,박상순,중소일반,경기도 성남시 분당구 운중로187번길 4-6,www.gnbseng.com,031-658-6276,-,"42,392 (백만원)","5,797 (백만원)","4,554 (백만원)","3,582 (백만원)","1,425,000 주",500 원,"신주모집 : 1,425,000 주 (100%)","14,300 ~ 17,400 원",1479.87:1,"17,400 원","24,795 (백만원)",삼성증권,"356,250~427,500 주","17,500~21,000 주",2021.10.19 ~  2021.10.20,주,100%,"997,500~1,068,750 주 (70~75%)",- 주,50%,1134.34:1,4.37%
197,아이패밀리에스씨,신규상장,코스닥,114840,기타 화학제품 제조업,김태욱,중소일반,서울특별시 강남구 논현로150길 7,www.ifamily.co.kr/,02-540-4112,-,"79,218 (백만원)","11,566 (백만원)","8,747 (백만원)","2,060 (백만원)","978,000 주",500 원,"신주모집 : 819,200 주 (83.76%)
	/  구주매출 : 158,800 주 (16.24%)","39,000 ~ 48,000 원",20.88:1,"25,000 원","24,450 (백만원)",삼성증권,"244,500~293,400 주","12,000~14,500 주",2021.10.18 ~  2021.10.19,"35,000  주  (3.58%)",100%,"649,600~698,500 주 (66.42~71.42%)",- 주,50%,63.10:1,0.00%
198,차백신연구소,신규상장,코스닥,261780,의약품 제조업,염정선,중소일반,"경기 성남시 중원구 둔촌대로 560, 406,407호 (상대원동,벽산테크노피아아파트형공장)",www.chavaccine.com,031-737-8208,차바이오텍 46%,78 (백만원),"-6,240 (백만원)","-6,240 (백만원)","11,194 (백만원)","3,950,000 주",500 원,"신주모집 : 3,950,000 주 (100%)","11,000 ~ 15,000 원",42.16:1,"11,000 원","43,450 (백만원)",삼성증권,"987,500~1,185,000 주","49,000~59,000 주",2021.10.12 ~  2021.10.13,"276,500  주  (7%)",100%,"2,488,500~2,686,000 주 (63~68%)",- 주,50%,206.23:1,1.93%
199,지아이텍,신규상장,코스닥,382480,특수 목적용 기계 제조업,이인영,중소일반,충청남도 아산시 둔포면 아산밸리로387번길 42 (석곡리),www.gitec.kr,041-543-1315,-,"17,189 (백만원)","4,823 (백만원)","4,165 (백만원)","3,935 (백만원)","2,700,000 주",500 원,"신주모집 : 2,000,000 주 (74.07%)
	/  구주매출 : 700,000 주 (25.93%)","11,500 ~ 13,100 원",2968.35:1,"14,000 원","37,800 (백만원)",미래에셋증권,"675,000~810,000 주","33,000~40,000 주",2021.10.12 ~  2021.10.13,"270,000 주  (10%)",100%,"1,620,0001,620,000 주 (60~75%)",- 주,50%,2068.17 :1,25.28%
200,NH스팩21호,신규상장,코스닥,391710,금융 지원 서비스업,이현범,중소일반,서울특별시 영등포구 여의대로 108,,,-,- (백만원),0 (백만원),- (백만원),746 (백만원),"6,250,000 주",100 원,"신주모집 : 6,250,000 주 (100%)","2,000 ~ 2,000 원",477.64:1,"2,000 원","12,500 (백만원)",NH투자증권,"1,562,500 주","156,250 주",2021.10.05 ~  2021.10.06,주,100%,"4,687,500 주 (75%)",- 주,100%,,0.00%
201,케이카,신규상장,거래소,381970,자동차 판매업,정인국,중소일반,서울특별시 영등포구 선유로43길 27,www.kcar.com,02-754-0944,한앤코오토서비스홀딩스 100%,"1,323,114 (백만원)","30,985 (백만원)","24,130 (백만원)","24,043 (백만원)","16,830,288 주",500 원,"신주모집 : 1,202,164 주 (7.14%)
	/  구주매출 : 15,628,124 주 (92.86%)","34,300 ~ 43,200 원",8.72:1,"25,000 원","420,757 (백만원)","NH투자증권,대신증권,삼성증권,하나금융투자","4,207,572~5,049,086 주","140,000~168,000 주",2021.09.30 ~  2021.10.01,"3,366,057 주  (10%)",100%,"~12,622,716 주 (55~75%)",- 주,50%,40:1,0.00%
202,씨유테크,신규상장,코스닥,376290,전자부품 제조업,백영현,중소일반,경기도 평택시 청북면 현곡산단로93번길 6,www.cutech.co.kr,031-686-8400,레스타홀딩스 100%,"221,698 (백만원)","14,284 (백만원)","10,598 (백만원)","8,828 (백만원)","5,250,000 주",500 원,"신주모집 : 3,500,000 주 (66.67%)
	/  구주매출 : 1,750,000 주 (33.33%)","5,100 ~ 5,600 원",1408.69:1,"6,000 원","31,500 (백만원)",대신증권,"1,312,500~1,575,000 주","130,000~150,000 주",2021.09.28 ~  2021.09.29,주,100%,"3,675,000~3,937,500 주 (70~75%)",- 주,50%,1565.03:1,22.76%
203,원준,신규상장,코스닥,382840,특수 목적용 기계 제조업,이성제,중소일반,경기도 수원시 권선구 산업로 174-29,www.onejoon.co.kr,,-,"64,030 (백만원)","5,375 (백만원)","4,412 (백만원)",502 (백만원),"1,004,807 주",100 원,"신주모집 : 1,004,807 주 (100%)","52,000 ~ 60,000 원",1623.28:1,"65,000 원","65,312 (백만원)",NH투자증권,"251,202~753,605 주","10,000~12,000 주",2021.09.27 ~  2021.09.28,"30,000 주  (2.99%)",100%,"673,365~753,605 주 (67.0167.01%)",- 주,50%,1464.10:1,44.30%
204,하나금융스팩19호,신규상장,코스닥,388220,금융 지원 서비스업,홍지헌,중소일반,서울특별시 영등포구 의사당대로 82,,,-,- (백만원),0 (백만원),- (백만원),631 (백만원),"5,500,000 주",100 원,"신주모집 : 5,500,000 주 (100%)","2,000 ~ 2,000 원",95.76:1,"2,000 원","11,000 (백만원)",하나금융투자,"1,375,000~1,650,000 주","100,000 주",2021.09.27 ~  2021.09.28,주,100%,"3,850,000~4,125,000 주 (70~75%)",- 주,100%,,0.00%
