기업명,신규상장일,공모가(원),시초가(원),시초/공모(%),첫날종가(원)
조이맥스,2009/06/03,"55,000","110,000",100%,"93,500"
차이나그레이트스타인터내셔널리,2009/05/29,"1,700","3,400",100%,"3,450"
이엔에프테크놀로지,2009/05/28,"5,500","11,000",100%,"9,350"
뉴그리드테크놀로지,2009/05/26,"3,500","7,000",100%,"8,050"
중국원양자원유한공사(유가),2009/05/22,"3,100","6,200",100%,"7,130"
해덕선기,2009/05/21,"8,500","17,000",100%,"16,200"
한국정밀기계,2009/05/19,"22,000","44,000",100%,"50,600"
서울마린,2009/05/19,"10,000","20,000",100%,"17,000"
STX엔파코(유가),2009/05/15,"13,000","26,000",100%,"29,900"
흥국,2009/05/12,"4,200","8,400",100%,"9,660"
신텍,2009/04/30,"12,500","25,000",100%,"26,300"
우림기계,2009/04/28,"10,000","16,000",60%,"18,400"
네프로아이티,2009/04/24,"4,500","9,000",100%,"10,350"
티플랙스,2009/04/23,"3,000","6,000",100%,"6,900"
에이테크솔루션,2009/04/17,"5,400","10,800",100%,"12,400"
엔에스브이,2009/04/17,"4,300","8,600",100%,"9,890"
에스티오,2009/04/17,"5,000","10,000",100%,"11,500"
에스앤에스텍,2009/04/14,"4,000","8,000",100%,"9,200"
뷰웍스,2009/04/10,"9,000","18,000",100%,"20,700"
코오롱생명과학,2009/04/07,"23,500","47,000",100%,"54,000"
네오피델리티,2009/03/31,"4,500","9,000",100%,"10,350"
중국식품포장유한공사,2009/03/27,"1,500","2,260",50.67%,"2,595"
이수앱지스,2009/02/03,"5,500","8,000",45.45%,"9,200"
유비쿼스,2009/01/23,"6,100","7,000",14.75%,"8,050"
대성파인텍,2009/01/23,"3,500","4,495",28.43%,"4,190"
메디톡스,2009/01/16,"14,000","13,500",-3.57%,"15,500"
엠게임,2008/12/19,"10,000","15,000",50%,"14,800"
아이컴포넌트,2008/12/16,"3,500","4,235",21%,"4,100"
연합과기공고유한공사(유가),2008/12/04,"2,200","2,600",18.18%,"2,500"
LG파워콤(유가),2008/11/27,"5,700","7,000",22.81%,"6,730"
에너지솔루션즈,2008/11/25,"3,000","4,210",40.33%,"3,625"
이크레더블,2008/10/24,"18,000","16,200",-10%,"13,800"
심팩에이앤씨,2008/10/17,"12,000","10,800",-10%,"9,200"
사이버다임,2008/10/06,"3,100","4,015",29.52%,"4,210"
세운메디칼,2008/09/30,"5,600","9,800",75%,"8,700"
마이크로컨텍솔루션,2008/09/23,"2,000","3,500",75%,"2,975"
케이제이프리텍,2008/09/18,"3,000","2,800",-6.67%,"3,220"
삼강엠앤티,2008/08/01,"6,500","8,100",24.62%,"8,100"
LG이노텍(유가),2008/07/24,"40,500","43,000",6.17%,"44,200"
아이엠,2008/07/23,"5,000","5,437",8.74%,"5,523"
한텍엔지니어링,2008/07/18,"8,500","7,900",-7.06%,"6,720"
코리아에스이,2008/07/15,"5,500","6,100",10.91%,"5,190"
슈프리마,2008/07/11,"27,100","24,400",-9.96%,"23,100"
명문제약(유가),2008/07/10,"6,000","5,400",-10%,"4,700"
이스트소프트,2008/07/01,"9,800","16,000",63.27%,"13,600"
서울옥션,2008/07/01,"11,000","9,900",-10%,"8,420"
비유와상징(유가),2008/06/30,"33,000","29,700",-10%,"25,250"
씨디아이홀딩스,2008/06/27,"33,000","35,100",6.36%,"40,350"
윌덱스,2008/06/19,"10,000","9,000",-10%,"10,350"
쎄트렉아이,2008/06/13,"43,000","48,000",11.63%,"40,800"
브리지텍,2008/06/04,"3,100","3,200",3.23%,"3,495"
고영테크놀러지,2008/06/03,"11,500","10,350",-10%,"10,300"
제이씨엔터테인먼트,2008/05/30,"10,500","10,500",0%,"8,950"
세미텍,2008/05/23,"5,000","5,710",14.2%,"5,200"
테스,2008/05/20,"34,000","38,500",13.24%,"32,750"
우진비앤지,2008/05/20,"4,000","7,700",92.5%,"6,550"
예스이십사,2008/05/07,"6,300","10,000",58.73%,"8,500"
엘디티,2008/05/02,"3,800","7,250",90.79%,"8,330"
실리콘화일,2008/04/25,"6,000","6,100",1.67%,"7,010"
메타바이오메드,2008/04/15,"9,000","12,500",38.89%,"10,650"
효성오앤비,2008/04/08,"7,500","9,950",32.67%,"8,460"
네패스신소재,2008/04/04,"4,400","7,650",73.86%,"8,790"
제너시스템즈,2008/03/26,"3,500","4,700",34.29%,"3,995"
텔레필드,2008/02/01,"5,000","5,000",0%,"4,840"
넥실리온,2008/01/30,"3,500","4,200",20%,"3,610"
코웰이홀딩스,2008/01/29,"2,000","1,900",-5%,"1,615"
네오엠텔,2008/01/25,"8,500","10,000",17.65%,"8,500"
마이스코,2008/01/25,"18,000","18,000",0%,"16,650"
엔케이(유가),2008/01/24,"10,000","9,000",-10%,"10,350"
에스맥,2008/01/23,"3,500","3,410",-2.57%,"3,450"
일신랩,2007/12/26,"4,500","6,000",33.33%,"5,100"
쎄믹스,2007/12/26,"3,300","3,900",18.18%,"3,315"
미성포리테크,2007/12/20,"6,300","5,900",-6.35%,"5,020"
서원인텍,2007/12/20,"6,000","5,500",-8.33%,"5,560"
이씨에스텔레콤,2007/12/18,"2,500","3,200",28%,"2,720"
대창메탈,2007/12/17,"6,500","8,500",30.77%,"7,230"
한전KPS(유가),2007/12/14,"13,300","17,100",28.57%,"19,650"
위즈위드,2007/12/05,"5,200","5,650",8.65%,"6,490"
성진지오텍(유가),2007/11/29,"14,000","13,400",-4.29%,"11,400"
화풍방직(유가),2007/11/26,"5,600","6,300",12.5%,"7,240"
세실,2007/11/20,"11,000","9,900",-10%,"11,350"
알에프세미,2007/11/20,"4,800","4,600",-4.17%,"5,290"
디엔에프(유가),2007/11/16,"12,000","10,800",-10%,"9,200"
씨모텍,2007/11/14,"23,000","25,000",8.7%,"23,000"
제이에스전선(유가),2007/11/12,"24,000","48,000",100%,"40,800"
일진정공,2007/11/06,"5,200","10,400",100%,"11,950"
비엠티,2007/11/02,"8,000","7,200",-10%,"8,280"
쉘라인(유가),2007/11/01,"17,400","15,700",-9.77%,"13,350"
기신정기(유가),2007/10/30,"10,000","14,800",48%,"12,600"
이엠코리아,2007/10/29,"8,500","9,390",10.47%,"7,990"
이엘케이,2007/10/29,"10,000","9,000",-10%,"7,650"
KSS해운(유가),2007/10/26,"65,000","130,000",100%,"149,500"
효성ITX(유가),2007/10/25,"5,000","10,000",100%,"11,500"
현우산업,2007/10/24,"6,800","6,500",-4.41%,"5,530"
다믈멀티미디어,2007/10/19,"4,500","5,300",17.78%,"6,090"
디아이씨(유가),2007/10/18,"63,000","61,000",-3.17%,"51,900"
에스에너지,2007/10/16,"19,000","38,000",100%,"43,700"
성우전자,2007/10/12,"11,000","9,900",-10%,"8,420"
제이엠텔레콤,2007/10/12,"5,700","5,700",0%,"6,550"
엘지에스,2007/10/12,"11,000","9,900",-10%,"8,420"
오디텍,2007/10/08,"10,000","9,320",-6.8%,"9,080"
미래나노텍,2007/10/01,"37,000","38,000",2.7%,"32,300"
상보,2007/10/01,"15,000","16,500",10%,"14,100"
아이에스시테크놀러지,2007/10/01,"21,000","18,900",-10%,"16,100"
네오티스,2007/10/01,"11,500","11,500",0%,"9,800"
바이오톡스텍,2007/09/21,"5,500","7,900",43.64%,"9,080"
에스티엑스팬오션(유가),2007/09/21,"1,720","1,775",3.2%,"2,040"
옴니시스템,2007/09/19,"6,500","7,160",10.15%,"6,090"
연이정보통신,2007/09/19,"4,000","3,670",-8.25%,"3,120"
푸른기술,2007/09/14,"12,500","12,500",0%,"14,350"
웨이브일렉트로닉스,2007/09/12,"10,000","10,100",1%,"8,600"
넥스지,2007/08/20,"9,600","12,000",25%,"10,200"
빅솔론,2007/08/20,"10,000","12,000",20%,"10,200"
3노드디지탈,2007/08/17,"2,500","3,000",20%,"3,450"
에스엔케이폴리텍,2007/07/30,"8,900","12,500",40.45%,"14,350"
아구스,2007/07/27,"14,500","19,850",36.9%,"16,950"
아로마소프트,2007/07/25,"8,200","12,900",57.32%,"11,000"
에코프로,2007/07/20,"9,000","16,000",77.78%,"18,400"
바로비젼,2007/07/20,"8,900","12,000",34.83%,"11,700"
메모리앤테스팅,2007/07/18,"8,000","15,900",98.75%,"13,550"
컴투스,2007/07/06,"12,000","24,000",100%,"20,400"
디지텍시스템스,2007/07/04,"21,000","37,500",78.57%,"43,100"
삼성카드(유가),2007/06/27,"48,000","62,200",29.58%,"61,200"
엔텔스,2007/06/20,"10,000","20,000",100%,"23,000"
풍강,2007/06/01,"3,700","7,300",97.3%,"7,800"
케이프,2007/05/29,"18,000","36,000",100%,"30,600"
동국제약,2007/05/29,"14,000","28,000",100%,"32,200"
상신이디피,2007/05/23,"7,000","14,000",100%,"11,900"
잘만테크,2007/05/22,"14,000","24,000",71.43%,"24,100"
한라레벨,2007/05/22,"8,600","17,200",100%,"19,750"
에버테크노,2007/05/22,"5,200","8,000",53.85%,"8,200"
에프알텍,2007/05/18,"3,300","6,000",81.82%,"6,900"
이엠텍,2007/05/02,"7,100","11,000",54.93%,"9,350"
이트레이드증권,2007/02/21,"6,500","13,000",100%,"14,950"
오스템임플란트,2007/02/07,"15,000","16,400",9.33%,"17,050"
나노캠텍,2007/01/30,"7,000","13,000",85.71%,"11,050"
네오팜,2007/01/30,"8,000","12,100",51.25%,"10,800"
비에이치,2007/01/26,"4,600","4,805",4.46%,"4,020"
젯텍,2007/01/10,"7,000","8,500",21.43%,"9,770"
동아엘텍,2007/01/03,"6,000","7,020",17%,"6,250"
신양엔지니어링,2006/12/27,"9,100","9,400",3.3%,"10,800"
아비스타(유가),2006/12/26,"11,100","13,200",18.92%,"11,300"
디앤티,2006/12/22,"6,200","9,100",46.77%,"7,740"
펜타마이크로,2006/12/19,"10,200","14,000",37.25%,"11,900"
휴온스,2006/12/19,"9,300","17,100",83.87%,"14,550"
한국컴퓨터,2006/12/13,"23,500","37,000",57.45%,"42,550"
파트론,2006/12/13,"8,300","10,150",22.29%,"11,650"
유니테스트,2006/12/05,"22,000","28,000",27.27%,"23,800"
다사테크,2006/12/05,"12,000","24,000",100%,"27,600"
에스에이티,2006/11/28,"5,200","10,400",100%,"11,950"
큐에스아이,2006/11/24,"6,800","13,600",100%,"11,600"
크레듀,2006/11/16,"24,000","48,000",100%,"55,200"
주연테크(유가),2006/11/15,"6,400","10,200",59.38%,"11,700"
화신테크,2006/11/10,"2,700","5,400",100%,"6,210"
고려반도체시스템,2006/11/08,"5,500","8,000",45.45%,"9,200"
인천도시가스(유가),2006/11/07,"19,000","34,000",78.95%,"28,950"
성창에어텍,2006/11/03,"3,400","6,000",76.47%,"6,400"
넥스턴,2006/11/01,"4,100","4,600",12.2%,"5,290"
제이티,2006/10/27,"2,700","4,000",48.15%,"3,400"
이녹스,2006/10/20,"6,500","9,630",48.15%,"8,290"
광진윈텍,2006/10/20,"2,600","5,200",100%,"5,980"
삼정펄프(유가),2006/10/17,"29,000","55,400",91.03%,"48,500"
용현비엠,2006/10/10,"9,000","13,000",44.44%,"11,400"
바텍,2006/09/28,"6,700","8,920",33.13%,"9,000"
엠디에스테크놀로지,2006/09/26,"13,000","17,500",34.62%,"20,100"
현대EP(유가),2006/09/25,"18,500","37,000",100%,"42,550"
평산,2006/08/22,"15,500","24,400",57.42%,"21,400"
엘씨텍,2006/08/08,"1,500","3,000",100%,"3,450"
지오텔,2006/08/01,"9,800","9,250",-5.61%,"7,870"
트라이콤,2006/07/25,"4,800","4,320",-10%,"3,675"
젠트로,2006/07/25,"2,200","2,400",9.09%,"2,760"
티엘아이,2006/07/25,"11,400","11,000",-3.51%,"9,820"
엑스씨이,2006/07/21,"7,500","6,900",-8%,"6,850"
한국전자금융,2006/07/14,"20,500","32,950",60.73%,"28,050"
미디어플렉스,2006/07/07,"24,000","37,500",56.25%,"34,800"
팬엔터테인먼트,2006/07/07,"7,000","9,900",41.43%,"8,420"
맥스엔지니어링,2006/07/04,"2,900","4,285",47.76%,"3,645"
사이버패스,2006/07/04,"5,200","4,860",-6.54%,"4,140"
인포뱅크,2006/07/04,"4,600","4,610",0.22%,"3,920"
켐트로닉스,2006/01/17,"9,500","9,800",3.16%,"11,250"
오스코텍,2006/01/17,"9,000","13,000",44.44%,"14,950"
